Competencia,Roles,Cursos,Clasificación,Especificación,Tipo de desarrollo,Asociado a...
.NET,,,,,,
.NETCore,,,Framework,,Back-end,C#
Abstract Factory,,,Patrones de diseño y Arquitectura del software,Patrón de creación,Back-end,
Aceptación,QA Tester,,Testing,Tipo de testing,,
Acknowledgement,,,Patrón de resiliencia,,,
ActiveMQ,,,,Broker de mensajería,,
Adapter,,,Patrones de diseño y Arquitectura del software,Patrón estructural,Back-end,
AdonisJS,,,Framework,,Front-end,TypeScript
Álgebra,,,Matemáticas,,Back-end,Python
Algoritmia,,Algoritmos y Estructuras de Datos,Matemáticas,,Back-end,Python
Amazon Simple Queue Service (SQS),,,,Broker de mensajería,,
Android Debug Database,,,Librería,,Back-end,Kotlin
Angular,,,Framework,,Front-end,TypeScript
Angular material,,,Librería Modular,,Front-end,TypeScript
Angular notifier,,,Librería Modular,,Front-end,TypeScript
Angular split,,,Librería Modular,,Front-end,TypeScript
AngularJS,,,Framework,,Front-end,JavaScript
anime.js,,,Librería,,Front-end,JavaScript
Anko,,,Librería,,Back-end,Kotlin
Apache AVRO,,,,Protocolo de comunicación,,
Apache Cassandra,,,Base de Datos,Base de datos no relacional,Back-end,SQL
Apache Commons,,,Librería,,Back-end,Java
Apache Hadoop,Data Scientist,,Software,,,Java
Apache Mesos,,,,Plataforma de orquestación de contenedores,,
Apache Pulsar,,,,Broker de mensajería,,
API First,,,API,Marco de trabajo API,,
Aplicación Web Progresiva (PWA),,,Software,,Back-end,
Arrow,,,Librería,,Back-end,Kotlin
ASP .NET,,,Framework,,Back-end,C#
AWS,,"Introducción a AWS I,Introducción a AWS II,Introducción a AWS III,MLOps en la nube",Cloud,,,
AWS SDK,,,Librería,,Back-end,PHP
Azure,,,Cloud,,,
Azure DevOps,,,CI/CD,,,
Backbone.js,,,Framework,,"Back-end,Front-end",JavaScript
Bamboo,,,CI/CD,,,
Batching,,,Patrón de resiliencia,,,
Beego,,,Framework,,Back-end,Golang
Bitbucket,,,Controlador de versiones,,"Back-end,Front-end",
Boilerplate,,,Framework,,Front-end,"HTML,CSS"
Bokeh,,,Librería,,Back-end,Python
BootStrap,,,Framework,,Front-end,"HTML,CSS"
Buffalo,,,Framework,,Back-end,Golang
Butterknife,,,Librería,,Back-end,Kotlin
C#,,,Lenguaje,,Back-end,
Chart.js,,,Librería,,Front-end,JavaScript
Code First,,,API,Marco de trabajo API,,
Codeigniter,,,Framework,,Back-end,PHP
Codemirror,,,Librería,,Front-end,JavaScript
Command,,,Patrones de diseño y Arquitectura del software,Patrón de comportamiento,Back-end,
Couchbase,,,Base de Datos,Base de datos no relacional,Back-end,SQL
CouchDB,,,Base de Datos,Base de datos no relacional,Back-end,SQL
Cramp,,,Framework,,Back-end,Ruby
Crashlytics,,,Librería,,Back-end,Kotlin
CSS,"Front-end Developer Junior,Back-end Developer Junior,Full-Stack Developer Junior","Tailwind I,Tailwind II,Tailwind III",Lenguaje,,Front-end,
Cuba,,,Framework,,Back-end,Ruby
Cucumber,,Testing con Gherkin & Cucumber,Testing,Herramienta de testing,Back-end,Java
Cypress,QA Tester,Automatización de pruebas con Cypress,Testing,Herramienta de testing,Front-end,JavaScript
D3.js,,,Librería,,Front-end,JavaScript
Dagger,,,Librería,,Back-end,Kotlin
Data Wrangling,,,Proceso,,Back-end,"Python,SQL"
Datadog,,,Monitorización,,,
Daux.io,,,Librería,,Back-end,PHP
DB2,,,Base de Datos,Base de datos relacional,Back-end,SQL
Debbuging,,Software Debugging,Proceso,,Back-end,
Decorator,,,Patrones de diseño y Arquitectura del software,Patrón estructural,Back-end,
Deep Learning,Data Scientist,,,Artificial Intelligence,Back-end,
Deno,,Introducción a Deno,Programa,,Back-end,"JavaScript,TypeScript"
Design Systems,,"Design Systems I,Design Systems Parte II",,Diseño UX/UI,Front-end,
Django,Data Scientist,,Framework,,Back-end,Python
Docker,,,,Contenedor,,
Docker Swarm,,,,Plataforma de orquestación de contenedores,,
Dompdf,,,Librería,,Back-end,PHP
Dragula,,,Librería Modular,,Front-end,TypeScript
DRY,,,Buena práctica,Clean Code,,
Dynatrace,,,Monitorización,,,
Eartho One,,,Librería Modular,,Front-end,JavaScript
Echo,,,Framework,,Back-end,Golang
Elasticsearch,,Monitorización con Elasticsearch,Motor de búsqueda,,,
Element Plus,,,Librería Modular,,Front-end,JavaScript
ELK Stack,,,Monitorización,,,
Ember.js,,,Framework,,Front-end,JavaScript
End to End,QA Tester,,Testing,Tipo de testing,Front-end,
Entity,,,Framework,,Back-end,C#
Estadística,,Estadística Descriptiva y Estadística Inferencial,Matemáticas,,Back-end,Python
Estructura de datos,,Algoritmos y Estructuras de Datos,Base de Datos,,Back-end,
Excel,,,Software,,Back-end,
eXtreme Programming,,,Software,,Back-end,
Facade,,,Patrones de diseño y Arquitectura del software,Patrón estructural,Back-end,
Factory Method,,,Patrones de diseño y Arquitectura del software,Patrón de creación,Back-end,
Failover,,,Patrón de resiliencia,,,
FeatherJS,,,Framework,,Front-end,TypeScript
Fiber,,,Framework,,Back-end,Golang
Figma,,Figma,Programa,Diseño UX/UI,Front-end,
Flask,,,Framework,,Back-end,Python
Flexbox,,Track formativo en React con Material UI y TypeScript. Sesión II: Sistema Box y Grid,Framework,,Front-end,"HTML,CSS"
Flexbox Layout,,,Librería,,Back-end,Kotlin
Foundation,,,Framework,,Front-end,"HTML,CSS"
Funcionales,QA Tester,,Testing,Tipo de testing,,
Gaelyk,,,Framework,,Back-end,Groovy
Gherkin,,Testing con Gherkin & Cucumber,Lenguaje,,,
Gin,,,Framework,,Back-end,Golang
GIT,,"Sistemas de Control de Versiones,Trabajo en equipo con Git",Controlador de versiones,,"Back-end,Front-end",
GitHub,,Gestión de Código con GitHub,Controlador de versiones,,"Back-end,Front-end",
GitLab,,,Controlador de versiones,,"Back-end,Front-end",
Glide,,,Librería,,Back-end,Kotlin
Golang,,,Lenguaje,,Back-end,
Google Cloud,,,Cloud,,,
Google Cloud Pub/Sub,,,,Broker de mensajería,,
Gorilla,,,Framework,,Back-end,Golang
Grafana,,,Monitorización,,,
Grails,,,Framework,,Back-end,Groovy
GraphQL,,"GraphQL básico I,GraphQL básico II",Lenguaje,,Back-end,
Grid,,Track formativo en React con Material UI y TypeScript. Sesión II: Sistema Box y Grid,Framework,,Front-end,"HTML,CSS"
Groovy,,,Lenguaje,,Back-end,
gRPC,,,,Protocolo de comunicación,,
Gson,,,Librería,,Back-end,Java
Guava,,,Librería,,Back-end,Java
Gumby,,,Framework,,Front-end,"HTML,CSS"
Hammer.js,,,Librería,,Front-end,JavaScript
Hanami,,,Framework,,Back-end,Ruby
Hexagonal,,,Patrones de diseño y Arquitectura del software,Patrón arquitectónico,Back-end,
Hibernate,,,Framework,,Back-end,Java
Hipertable,,,Base de Datos,Base de datos no relacional,Back-end,SQL
HTML,"Front-end Developer Junior,Back-end Developer Junior,Full-Stack Developer Junior",,Lenguaje,,Front-end,
IBM Cloud,,,Cloud,,,
Imagine,,,Librería,,Back-end,PHP
Instaphp,,,Librería,,Back-end,PHP
Integración,QA Tester,,Testing,Tipo de testing,,
Iris,,,Framework,,Back-end,Golang
Jackson,,,Librería,,Back-end,Java
Java,"Back-end Developer Junior,Full-Stack Developer Junior",,Lenguaje,,Back-end,
JavaScript,"Front-end Developer Junior,Back-end Developer Junior,Full-Stack Developer Junior",Scrapy con Javascript (Puppeteer),Lenguaje,,"Back-end,Front-end",
Jenkins,,,CI/CD,,,
Jest,QA Tester,,Testing,Herramienta de testing,Front-end,JavaScript
Jira,,,Software,Gestión de proyectos,,Java
JMeter,QA Tester,,Testing,Herramienta de testing,Back-end,
jQuery,,,Librería,,Front-end,JavaScript
JSON,,,API,Tipo de API,,
Junit,QA Tester,,Testing,Herramienta de testing,Back-end,Java
Kafka,,,,Broker de mensajería,,
Kanban,,,Marco de trabajo,Metodología ágil,,
Kickstart,,,Framework,,Front-end,"HTML,CSS"
KISS,,,Buena práctica,Clean Code,,
Koin,,,Librería,,Back-end,Kotlin
Kotlin,,,Lenguaje,,Back-end,
Ktor,,,Framework,,Back-end,Kotlin
Kubernetes,,,,Plataforma de orquestación de contenedores,,
Laravel,,,Framework,,Back-end,PHP
Latitude,,,Librería,,Back-end,PHP
LeakCanary,,,Librería,,Back-end,Kotlin
Less,,,Framework,,Front-end,"HTML,CSS"
Linux,,,Sistema Operativo,,,
Log4j2,,,Librería,,Back-end,Java
LoopbackJS,,,Framework,,Front-end,TypeScript
Lottie,,,Librería,,Back-end,Kotlin
Lotus,,,Framework,,Back-end,Ruby
LXC/LCD,,,,Contenedor,,
Machine Learning,"Data Scientist,Data Scientist Junior","Métricas de Evaluación,Resolución del reto de predicción de impago con Machine Learning,""Presentación del reto """"Uso de Machine Learning para predecir el impago"""""",Aprendizaje supervisado y No supervisado,MLOps en la nube,""ChatGPT: IA a la disposición del desarrollo, como sacar provecho y estar preparados para el futuro.""",,Artificial Intelligence,Back-end,
Machine Learning Debugging,,,,Artificial Intelligence,Back-end,
Mango,,,Framework,,Back-end,Golang
MariaDB,,,Base de Datos,Base de datos relacional,Back-end,SQL
Markdown,,Clean Code para Data Scientist II,Lenguaje,,Front-end,
Martini,,,Framework,,Back-end,Golang
Material UI,,Track formativo en React con Material UI y TypeScript. Sesión III: Estilos de MUI,Librería Modular,,Front-end,JavaScript
Materialize,,,Framework,,Front-end,"HTML,CSS"
MaterialToast,,,Librería,,Back-end,Kotlin
MathJS,,,Librería,,Front-end,JavaScript
MATLAB,,,Lenguaje,,Back-end,
Matplotlib,Data Scientist,,Librería,,Back-end,Python
Mercurial,,,Controlador de versiones,,"Back-end,Front-end",
Mercury.js,,,Framework,,Front-end,JavaScript
Micronaut,,,Framework,,Back-end,Kotlin
Microservicios,,,Patrones de diseño y Arquitectura del software,Patrón arquitectónico,Back-end,
Microsoft SQL Server,,,Base de Datos,Base de datos relacional,Back-end,SQL
Mocha,QA Tester,,Testing,Herramienta de testing,Front-end,JavaScript
Mockito,QA Tester,,Testing,Herramienta de testing,Back-end,Java
Modelo-Vista-Controlador (MVC),,,Patrones de diseño y Arquitectura del software,Patrón arquitectónico,Back-end,
Moment.js,,,Librería,,Front-end,JavaScript
MongoDB,,,Base de Datos,Base de datos no relacional,Back-end,SQL
Montage,,,Framework,,Front-end,"HTML,CSS"
MPAndroidChart,,,Librería,,Back-end,Kotlin
MySQL,,Administración de MySQL,Base de Datos,Base de datos relacional,Back-end,SQL
Nagios,,,Monitorización,,,
Neo4j,,,Base de Datos,Base de datos no relacional,Back-end,SQL
NestJS,,,Framework,,Back-end,"JavaScript,TypeScript"
NewRelic,,,Monitorización,,,
Next.js,,,Framework,,Back-end,"JavaScript,TypeScript"
NG animate,,,Librería Modular,,Front-end,TypeScript
NG Bootstrap,,,Librería Modular,,Front-end,TypeScript
NgRx,,,Librería Modular,,Front-end,TypeScript
NGX Admin,,,Librería Modular,,Front-end,TypeScript
NGX Charts,,,Librería Modular,,Front-end,TypeScript
NGX Cookie,,,Librería Modular,,Front-end,TypeScript
Node,"Back-end Developer Junior,Full-Stack Developer Junior",Diseño y planificación de tests en una aplicación de NodeJS,Software,,Back-end,JavaScript
Nomad,,,,Plataforma de orquestación de contenedores,,
Numpy,"Data Scientist,Data Scientist Junior",,Librería,,Back-end,Python
Oauth 2.0 Server,,,Librería,,Back-end,PHP
ObjectBox,,,Librería,,Back-end,Kotlin
Observer,,,Patrones de diseño y Arquitectura del software,Patrón de comportamiento,Back-end,
OneSignal,,,Librería,,Back-end,Kotlin
OpenStack,,,Cloud,,,
Oracle,,,Base de Datos,Base de datos relacional,Back-end,SQL
Oracle Cloud,,,Cloud,,,
Pandas,,,Librería,,Back-end,Python
Partitioning,,,Patrón de resiliencia,,,
PHP,,,Lenguaje,,Back-end,
PHP VCR,,,Librería,,Back-end,PHP
PHPExcel,,,Librería,,Back-end,PHP
PHPUnit,QA Tester,,Testing,Herramienta de testing,Back-end,PHP
Playwright,QA Tester,,Testing,Herramienta de testing,Front-end,
Podman,,,,Contenedor,,
PostgreSQL,,,Base de Datos,Base de datos relacional,Back-end,SQL
Power BI,"Data Scientist,Data Scientist Junior",,Software,Business Intelligence,"Back-end,Front-end",
PrimeNG,,,Librería Modular,,Front-end,TypeScript
Prisma,,,Librería,ORM,Back-end,"JavaScript,TypeScript"
Probabilidad,,,Matemáticas,,Back-end,Python
Prometheus,,,Monitorización,,,
Protocol Buffers,,,,Protocolo de comunicación,,
Purl,,,Librería,,Back-end,PHP
Pyramid,,,Framework,,Back-end,Python
Python,"Data Analyst,Data Scientist,Data Scientist Junior","Introducción a Python,Clean Code para Data Scientist I,Clean Code para Data Scientist II,Python I: Caso práctico estructuras de control de flujo",Lenguaje,,Back-end,
PyTorch,,,Librería,,Back-end,Python
Quasar,,,Librería Modular,,Front-end,JavaScript
QuestDB,,,Base de Datos,Base de datos relacional,Back-end,SQL
RabbitMQ,,,,Broker de mensajería,,
Rack,,,Programa,,Back-end,Ruby
Ramda,,,Librería,,Front-end,JavaScript
Ratpack,,,Framework,,Back-end,Groovy
React	,,,,,,
React Native,,,Framework,Diseño UX/UI,Front-end,JavaScript
React Router DOM,,,Librería Modular,,Front-end,JavaScript
React Testing Library,QA Tester,,Testing,Herramienta de testing,Front-end,JavaScript
ReactJS,"Front-end Developer Junior,Full-Stack Developer Junior","Track formativo en React con Material UI y TypeScript. Sesión I: Introducción a Material UI.,Track formativo en React con Material UI y TypeScript. Sesión III: Estilos de MUI,Track formativo en React con Material UI y TypeScript. Sesión II: Sistema Box y Grid,Track formativo en React con Material UI y TypeScript. Sesión IV: Theme & Context: Dark Mode",Framework,,Front-end,JavaScript
Realms,,,Librería,,Back-end,Kotlin
Redis,,,Base de Datos,Base de datos no relacional,Back-end,SQL
Redux,,,Librería Modular,,Front-end,JavaScript
Regresión,QA Tester,Regresión Lineal,Testing,Tipo de testing,,
Rendimiento o carga,QA Tester,,Testing,Tipo de testing,Back-end,
Replicación,,,Patrón de resiliencia,,,
Requery,,,Librería,,Back-end,Kotlin
REST,,,,Protocolo de comunicación,,
RESTFull,,,API,Tipo de API,,
Revel,,,Framework,,Back-end,Golang
Riak,,,Base de Datos,Base de datos no relacional,Back-end,SQL
RKT,,,,Contenedor,,
Room,,,Librería,,Back-end,Kotlin
Ruby,,,Lenguaje,,Back-end,
